property_type,n_rooms,dist_centre_km,outdoor_space,near_underground,intercept,beta_prop,beta_room,beta_dist,beta_outdoor,beta_under,premium,monthly_rent_gbp,listing_type
Flat,4,2.1912215353974536,Nothing,0,7.5,0.0,0.15,-0.05,0.0,0.0,0.0,3026.8405474669685,Owner
House,5,7.5754739216322715,Nothing,0,7.5,0.2,0.15,-0.05,0.0,0.0,0.0,3178.9717958750666,Owner
Flat,5,4.149337359383612,Nothing,1,7.5,0.0,0.15,-0.05,0.0,0.1,0.0,3550.7621832641676,Owner
Flat,4,1.5133859130711893,Garden,0,7.5,0.0,0.15,-0.05,0.15,0.0,0.0,3829.4719368267656,Owner
Flat,2,5.9364490355723625,Nothing,0,7.5,0.0,0.15,-0.05,0.0,0.0,0.0,1792.6851873834196,Owner
Flat,7,4.189604160774717,Terrace,0,7.5,0.0,0.15,-0.05,0.1,0.0,0.0,4577.063636579555,Owner
Flat,4,7.95415081360898,Garden,0,7.5,0.0,0.15,-0.05,0.15,0.0,0.0,2782.911887632499,Owner
House,3,6.64060249869231,Terrace,1,7.5,0.2,0.15,-0.05,0.1,0.1,0.0,3153.7314294115045,Owner
Flat,1,4.709426506615993,Balcony,0,7.5,0.0,0.15,-0.05,0.05,0.0,0.0,1704.5474944994016,Owner
Flat,4,3.3488886813008123,Terrace,0,7.5,0.0,0.15,-0.05,0.1,0.0,0.0,3164.2886940832323,Owner
Flat,4,0.7146319423761691,Nothing,0,7.5,0.0,0.15,-0.05,0.0,0.0,0.0,3106.0202342021043,Owner
House,4,1.5145404636634514,Terrace,0,7.5,0.2,0.15,-0.05,0.1,0.0,0.0,4027.8438588142353,Owner
House,1,2.7158787331419076,Nothing,1,7.5,0.2,0.15,-0.05,0.0,0.1,0.0,2505.651794105423,Owner
Flat,2,4.572702409857453,Terrace,0,7.5,0.0,0.15,-0.05,0.1,0.0,0.0,1950.2266338160186,Owner
Flat,8,3.604728573631553,Garden,0,7.5,0.0,0.15,-0.05,0.15,0.0,0.0,5342.867002283412,Owner
Flat,7,1.6996828341644223,Garden,0,7.5,0.0,0.15,-0.05,0.15,0.0,0.0,5360.976829819829,Owner
Flat,3,0.03242671116690151,Terrace,0,7.5,0.0,0.15,-0.05,0.1,0.0,0.0,2974.2200288368954,Owner
Flat,3,3.4282688510986774,Balcony,0,7.5,0.0,0.15,-0.05,0.05,0.0,0.0,2551.1484876565182,Owner
Flat,2,1.6817431412409147,Garden,1,7.5,0.0,0.15,-0.05,0.15,0.1,0.0,2753.179319794941,Owner
