property_type,n_rooms,dist_centre_km,outdoor_space,near_underground,intercept,beta_prop,beta_room,beta_dist,beta_outdoor,beta_under,premium,monthly_rent_gbp,listing_type
Flat,6,3.3904706771725603,Garden,0,7.531026782225061,0.0,0.17401993475399924,-0.012522332820740223,0.16192706523255782,0.0,0.0,5772.6051831066625,Owner
House,2,0.34041729927412534,Garden,0,7.501583720492176,0.17994551623911254,0.14122689719253032,-0.030720456980031494,0.13733689668654472,0.0,0.0,3290.101463924016,Owner
House,2,12.910090498851584,Garden,0,7.503479530569123,0.21443491967356315,0.1404513368194883,-0.045761415779623046,0.1438111864386821,0.0,0.0,2045.7991634623147,Owner
Flat,2,24.534868014758974,Nothing,0,7.498553268676677,0.0,0.1705656737316425,-0.05184799725706471,0.0,0.0,0.0,714.8355293216068,Owner
Flat,3,1.454561226303942,Nothing,1,7.459913411996556,0.0,0.14836640123407854,-0.0316858220162608,0.0,0.09351912362494844,0.0,2805.339631259325,Owner
House,5,11.507103590310734,Balcony,1,7.502893556263806,0.17481668671676837,0.14213103141435146,-0.08312660257604781,0.0949974023475824,0.11164063875838236,0.0,2166.6760615402877,Owner
Flat,2,1.9021824939279388,Garden,1,7.4699766275540584,0.0,0.14381298049119248,-0.05939543308002439,0.1603588790551394,0.09991275429403984,0.0,2715.7215810591583,Owner
Flat,6,0.5170680000206824,Nothing,1,7.504222189019021,0.0,0.13860391990509568,-0.05788026786532745,0.0,0.10735967364289825,0.0,4342.988211991367,Owner
Flat,3,8.503379927506785,Nothing,0,7.488835898892479,0.0,0.17540348496774633,-0.061584996269141073,0.0,0.0,0.0,1780.6588554149748,Owner
Flat,3,0.45245961071937546,Terrace,0,7.521690581297676,0.0,0.16763021802912934,-0.05901737732910467,0.1061858354775209,0.0,0.0,3405.720151899683,Owner
House,2,0.006291922282581779,Garden,0,7.496274217519519,0.19768850246757866,0.14685239826886806,-0.0493201457817607,0.1727978107365427,0.0,0.0,3587.0224567652813,Owner
Flat,6,3.5178317897775173,Garden,0,7.500293227495939,0.0,0.1558911712076993,-0.04201037638750386,0.1700567657749557,0.0,0.0,4648.377785738131,Owner
Flat,3,2.2465192979042583,Garden,0,7.478488610611266,0.0,0.14715131937839696,-0.06613960258336343,0.16533706635183637,0.0,0.0,3314.5903019857183,Owner
Flat,2,1.0542600750181328,Nothing,0,7.512845041484337,0.0,0.14775777276683438,-0.037405380322616685,0.0,0.0,0.0,2201.522841901993,Owner
Flat,4,0.07062757570759673,Nothing,0,7.496393265773431,0.0,0.1440189232100336,-0.05305959364391121,0.0,0.0,0.0,3122.9756376208193,Owner
Flat,2,9.973448962980514,Nothing,1,7.512406005067503,0.0,0.15553176819561804,-0.02972075804304751,0.0,0.11522681580902797,0.0,2212.924582120885,Owner
House,5,4.4378248352235445,Nothing,1,7.516219486692363,0.22130210416691506,0.1417297377393073,-0.04510848109121121,0.0,0.11173945190559531,0.0,4069.4690628584085,Owner
Flat,2,0.3795660035795884,Nothing,1,7.515558717327951,0.0,0.09014093631040224,-0.06753768688373812,0.0,0.10381130894497673,0.0,2398.1350142173574,Owner
House,3,1.2427486888176185,Balcony,1,7.495250206441155,0.2286977706333774,0.1721567872551954,-0.06982715778349657,0.021660434959009895,0.09904856440652145,0.0,4405.1264190946795,Owner
House,5,0.802644145136851,Garden,1,7.462161753093846,0.19019971835121205,0.14971091805913012,0.007228485980284832,0.12944071830197978,0.08568970748320262,0.0,5199.686003594524,Owner
House,6,5.477638549212567,Garden,1,7.476557564122167,0.1983517676063263,0.154345004134511,-0.046813303080269854,0.18382129791719304,0.0895654372808557,0.0,5521.412712425252,Owner
Flat,4,0.6179369386191444,Garden,1,7.516724139426959,0.0,0.12936762545010555,-0.090571203741418,0.10145250341874844,0.1155555409073869,0.0,3493.5108920382786,Owner
Flat,5,2.133222149470873,Nothing,0,7.520185468006644,0.0,0.15669357389987587,-0.0898219389584797,0.0,0.0,0.0,3478.6621445505302,Owner
Flat,4,14.170257735077698,Nothing,0,7.525861987218193,0.0,0.1368500923301525,-0.04422049784527451,0.0,0.0,0.0,1509.5691435990334,Owner
Flat,4,0.14149606303647938,Nothing,0,7.489013376688775,0.0,0.09939312621898863,-0.07052157202046076,0.0,0.0,0.0,2664.6692723452616,Owner
Flat,3,0.5977549772665028,Nothing,1,7.4803657427004175,0.0,0.06389828700056172,-0.044474928615077694,0.0,0.13346803187216363,0.0,2274.0946536171336,Owner
Flat,5,26.728772488633687,Terrace,0,7.518293455157704,0.0,0.14622224704466635,-0.07201546560212015,0.08661171350354577,0.0,0.0,620.1063069084036,Owner
Flat,4,10.192044553643388,Nothing,0,7.517461407565538,0.0,0.14057138521688217,-0.04472261407802761,0.0,0.0,0.0,1757.9081838275556,Owner
Flat,8,9.198655345290634,Garden,1,7.500442222834102,0.0,0.133632080757086,-0.04669105237173163,0.129037545725969,0.090758767460962,0.0,3916.2547981308253,Owner
Flat,3,3.42013825378904,Terrace,0,7.499917128329546,0.0,0.19515492045778368,-0.07718877892016908,0.12818399399661026,0.0,0.0,3032.6536829611487,Owner
House,3,2.5423790160778164,Nothing,0,7.473017476989785,0.1989002107214872,0.1393813455320565,-0.057765655316353415,0.0,0.0,0.0,2573.8802272096495,Owner
Flat,4,14.114875579331711,Garden,0,7.495835643071561,0.0,0.12478110677076754,-0.056248274287387316,0.1546921353384572,0.0,0.0,1544.3551739126149,Owner
Flat,4,17.055873774849843,Garden,0,7.526530805706772,0.0,0.1638427000732933,-0.027694676771465858,0.1343157508477668,0.0,0.0,2418.4143438536094,Owner
Flat,1,19.588486607476298,Terrace,1,7.481674788402942,0.0,0.16124140285848784,-0.08764781012948872,0.08445916686873245,0.12212220960321574,0.0,434.15484291130156,Owner
Flat,2,26.835721728653127,Garden,0,7.490599737074494,0.0,0.1586042345930753,-0.06504486770581822,0.12083882296847923,0.0,0.0,497.7277665696976,Owner
Flat,2,4.416698427365341,Nothing,0,7.497011149588697,0.0,0.1583840480293188,-0.07175295132604526,0.0,0.0,0.0,1780.6118868951985,Owner
Flat,4,1.7373560045772583,Nothing,0,7.493494797665154,0.0,0.18401084686406338,-0.053589401557466436,0.0,0.0,0.0,3347.2951319181884,Owner
House,3,0.20576273010503404,Terrace,0,7.463885530881775,0.2228108592052866,0.17932429633908142,-0.021465837792948285,0.10946719091500474,0.0,0.0,3967.5119482401706,Owner
Flat,4,4.92549864473183,Nothing,0,7.489992596224265,0.0,0.14993018899588292,-0.04709894030227047,0.0,0.0,0.0,2730.7177021379457,Owner
Flat,4,0.26573797243374175,Nothing,0,7.4887043870886325,0.0,0.13715312709095823,-0.10906368969364386,0.0,0.0,0.0,3152.338481414675,Owner
Flat,2,3.2941094887976696,Balcony,1,7.493711428539321,0.0,0.15470882424862067,-0.04963925029271635,-0.004246251665666813,0.09165198930165121,0.0,2047.4565327983205,Owner
Flat,2,11.602059940248477,Garden,1,7.492066455261882,0.0,0.15499226205093766,-0.04499486575259273,0.16181839946814078,0.10033921222720961,0.0,1937.6360675008716,Owner
Flat,3,0.3184922312074965,Nothing,0,7.500118662241552,0.0,0.14627524507959871,-0.07523991264920067,0.0,0.0,0.0,2853.799680797241,Owner
Flat,3,7.593532239254342,Terrace,0,7.4800572350765355,0.0,0.17574943401808496,-0.07880769748712663,0.13819513899244612,0.0,0.0,2042.7908861800859,Owner
Flat,4,5.988212767976857,Garden,0,7.533821951677599,0.0,0.2379576643515351,-0.038498901744371754,0.14608341879566547,0.0,0.0,4664.8545532121625,Owner
House,5,11.923613263789512,Terrace,1,7.493671182582372,0.17124365060446267,0.07770567322498333,-0.06832211967071436,0.1313619183007036,0.10417214848828935,0.0,1590.404020481743,Owner
Flat,3,2.6719857406929863,Garden,1,7.529302688417623,0.0,0.146568030469368,-0.06244530424566528,0.14659342244447454,0.10381686816815379,0.0,3178.671837808351,Owner
Flat,3,36.1478562621959,Nothing,1,7.529272026694064,0.0,0.18038821771378816,-0.05252965904862752,0.0,0.06581477483667914,0.0,471.0213486892421,Owner
Flat,4,4.906026850455648,Nothing,0,7.502578226576003,0.0,0.16375614223148777,-0.0791425663547775,0.0,0.0,0.0,2475.6523377795825,Owner
House,5,1.5283565061321687,Nothing,1,7.476435142773947,0.17239530045751675,0.13791563234957024,-0.03367557171049639,0.0,0.11166473655743889,0.0,5230.878722146904,Owner
Flat,5,7.276510493344723,Nothing,0,7.456669815836118,0.0,0.06509136362052828,-0.05803901909214145,0.0,0.0,0.0,1481.1712124707014,Owner
Flat,4,4.0662849187757235,Garden,0,7.469563742439777,0.0,0.1536122829577011,-0.04410130483957257,0.17263290796889127,0.0,0.0,3341.274063880128,Owner
Flat,6,2.7702318857925015,Nothing,1,7.49414224471281,0.0,0.1702628922195705,-0.06561733740636741,0.0,0.10704423962833039,0.0,4568.055900789904,Owner
Flat,2,3.671116765202375,Garden,0,7.50320976541233,0.0,0.16417173985333594,-0.03170614834908144,0.14249825604338792,0.0,0.0,2343.4556261434004,Owner
House,1,3.9010673593419662,Balcony,1,7.484342979447619,0.2512796339582468,0.17870538598000124,-0.03874796594152841,0.03505729395866212,0.09677021709678177,0.0,2677.6070829593905,Owner
Flat,3,2.651676511896006,Garden,0,7.489651955814255,0.0,0.0947020377570969,-0.038325097258721096,0.10532093377440022,0.0,0.0,2431.6032019526797,Owner
