user_id,group,converted
0,A,0
1,B,0
2,A,0
3,A,0
4,A,0
5,B,0
6,A,0
7,A,0
8,A,0
9,B,0
10,A,0
11,A,1
12,A,1
13,A,0
14,B,0
15,A,1
16,B,0
17,B,0
18,B,1
19,A,0
20,B,0
21,A,0
22,B,1
23,B,1
24,B,1
25,B,0
26,B,0
27,B,0
28,B,0
29,B,0
30,A,0
31,A,0
32,B,0
33,B,0
34,B,0
35,A,0
36,B,0
37,A,0
38,A,0
39,A,0
40,A,0
41,A,0
42,B,0
43,B,0
44,B,1
45,B,0
46,B,0
47,A,0
48,B,0
49,B,0
50,A,0
51,B,0
52,A,1
53,B,0
54,A,1
55,B,0
56,B,0
57,A,0
58,A,0
59,A,0
60,A,0
61,A,1
62,A,0
63,A,0
64,A,0
65,B,0
66,B,0
67,A,0
68,B,0
69,B,0
70,B,0
71,B,0
72,A,0
73,B,0
74,A,1
75,B,0
76,B,0
77,B,0
78,A,0
79,B,1
80,A,0
81,B,0
82,A,0
83,B,0
84,A,1
85,A,0
86,B,0
87,A,0
88,B,1
89,B,0
90,B,1
91,B,0
92,B,0
93,B,0
94,B,0
95,B,0
96,B,0
97,B,0
98,B,0
99,A,0
100,A,0
101,B,1
102,B,1
103,B,1
104,B,1
105,B,0
106,B,0
107,B,0
108,B,0
109,A,0
110,B,0
111,A,0
112,B,0
113,B,0
114,A,0
115,B,0
116,A,0
117,B,0
118,B,0
119,A,0
120,B,1
121,A,1
122,B,0
123,A,0
124,A,0
125,B,0
126,B,0
127,A,0
128,B,0
129,B,0
130,B,0
131,A,0
132,A,0
133,A,0
134,A,0
135,A,0
136,A,0
137,A,0
138,A,0
139,A,0
140,B,0
141,A,0
142,B,0
143,B,0
144,B,0
145,A,0
146,A,0
147,A,0
148,A,0
149,B,0
150,A,0
151,A,0
152,A,0
153,A,0
154,A,0
155,B,0
156,A,0
157,B,1
158,A,0
159,B,0
160,A,0
161,A,0
162,B,0
163,B,0
164,B,0
165,A,0
166,B,0
167,A,0
168,A,0
169,B,0
170,B,0
171,A,1
172,A,0
173,B,0
174,B,0
175,B,0
176,A,0
177,A,0
178,A,0
179,A,0
180,A,1
181,A,0
182,B,0
183,A,1
184,A,0
185,A,1
186,B,0
187,A,0
188,A,0
189,B,0
190,A,0
191,A,0
192,A,0
193,A,0
194,A,0
195,B,0
196,B,1
197,B,1
198,A,0
199,A,0
200,A,0
201,B,0
202,A,0
203,A,0
204,B,0
205,A,0
206,B,0
207,B,0
208,B,0
209,A,1
210,A,0
211,A,0
212,A,0
213,A,0
214,A,0
215,A,0
216,B,0
217,A,0
218,B,0
219,A,0
220,A,1
221,A,0
222,B,0
223,B,1
224,B,0
225,B,0
226,A,0
227,B,0
228,A,1
229,A,0
230,B,1
231,B,0
232,B,0
233,B,0
234,B,0
235,B,0
236,B,0
237,B,0
238,A,1
239,B,0
240,B,0
241,A,0
242,B,0
243,A,0
244,A,0
245,B,0
246,A,0
247,A,0
248,A,1
249,A,0
250,B,0
251,A,0
252,B,0
253,A,0
254,A,0
255,A,0
256,A,0
257,B,0
258,B,0
259,A,0
260,A,0
261,B,0
262,A,0
263,A,0
264,A,0
265,B,0
266,B,0
267,B,0
268,A,0
269,A,0
270,B,0
271,B,0
272,B,0
273,B,0
274,A,0
275,B,0
276,A,0
277,B,1
278,A,0
279,B,0
280,B,0
281,B,0
282,B,0
283,A,0
284,B,0
285,A,0
286,A,0
287,A,0
288,A,0
289,B,0
290,A,0
291,A,0
292,A,0
293,B,0
294,B,0
295,B,0
296,B,0
297,A,0
298,A,0
299,B,0
300,A,0
301,A,1
302,A,0
303,B,0
304,B,0
305,A,0
306,B,0
307,B,0
308,B,0
309,B,0
310,B,0
311,A,0
312,B,0
