property_type,n_rooms,dist_centre_km,outdoor_space,near_underground,intercept,beta_house,beta_room,beta_dist,beta_garden,beta_terrace,beta_balcony,beta_under,premium,monthly_rent_gbp,listing_type
Flat,4,2.1912215353974536,Nothing,0,7.514901424590337,0.15287371543794503,0.13149448921517198,-0.022214673574050763,0.11101256289217207,0.08751416785344239,0.07046208470187894,0.14198066309758006,0.0,3809.725769654659,Owner
House,5,7.5754739216322715,Nothing,0,7.495852070964864,0.16619697593270585,0.18150313524753858,0.007282499214103913,0.17489197253637523,0.06609791982878926,0.05378533710985902,0.12773901048738306,0.0,5679.94330380651,Owner
Flat,5,4.149337359383612,Nothing,1,7.519430656143021,0.16418224980802834,0.14989515795144415,-0.09195702721457424,0.17434189663474775,0.08649961426012559,0.04332575309665204,0.10178891109760523,0.0,3422.9202024118517,Owner
Flat,4,1.5133859130711893,Garden,0,7.545690895692241,0.20428829284291122,0.09389861727068549,-0.03311092289928288,0.11555210133742144,0.1377144765058772,0.11140586587158674,0.08059189666883279,0.0,2781.128576189364,Owner
Flat,2,5.9364490355723625,Nothing,0,7.4929753987583,0.2519754499845528,0.08565866587329435,-0.06951927707365481,0.17456332931264582,0.08393994738951331,0.029751979436283434,0.1209466994084077,0.0,1462.0056772051335,Owner
Flat,7,4.189604160774717,Terrace,0,7.4929758912915245,0.266939004385779,0.13791738507431456,-0.06461376151294088,0.19613795755237656,0.11075360854628861,0.03790772032804908,0.11180456156265249,0.0,3970.8119121549553,Owner
Flat,4,7.95415081360898,Garden,0,7.547376384465222,0.21914153304322273,0.1753047302651119,-0.06777181772716608,0.11632365581266757,0.0780713117285358,0.10974659906614202,0.12685579660083196,0.0,2613.60522723023,Owner
House,3,6.64060249869231,Terrace,1,7.523023041874588,0.21502533424833373,0.16610286610382516,-0.07591972309039448,0.12247491536957208,0.1227376554977086,0.025038160854504304,0.11905515405045909,0.0,2738.548047682379,Owner
Flat,1,4.709426506615993,Balcony,0,7.485915768421951,0.14596826797541784,0.17582780447740956,-0.048544351161655196,0.18052984400530506,0.12056523216370613,0.033496541511903836,0.13148658145958006,0.0,2105.4329608285584,Owner
Flat,4,3.3488886813008123,Terrace,0,7.516276801307579,0.18371978600797936,0.15105445957965727,-0.07492850349233113,0.15814485932476943,0.15545826499889234,0.0455892372970745,0.08394294365318297,0.0,3395.0715506454108,Owner
Flat,4,0.7146319423761691,Nothing,0,7.486097469215626,0.17636648744275285,0.14617856382985178,-0.041886295226604836,0.1665442882571857,0.09473308163502354,0.07522203446388648,0.1395218219690298,0.0,2627.703784969341,Owner
House,4,1.5145404636634514,Terrace,0,7.486028107392892,0.18137457205246654,0.11336694518139566,-0.05150714328347411,0.1602176764920149,0.1200596441427372,0.05623407522059941,0.10592798814077199,0.0,4231.241503503569,Owner
House,1,2.7158787331419076,Nothing,1,7.507258868146981,0.1949556854424563,0.137369790023953,-0.057168441405992296,0.16172087762784432,0.10294202618616834,0.011221239585432127,0.16225782617875797,0.0,2811.7345636660393,Owner
Flat,2,4.572702409857453,Terrace,0,7.442601592660266,0.1858372826690862,0.14575443171609323,-0.07722690986124794,0.11020583615066751,0.13887615345589044,0.034034943106184316,0.07932436545731297,0.0,1813.0244338728442,Owner
Flat,8,3.604728573631553,Garden,0,7.448252465024609,0.14062100568872637,0.09808585826502489,-0.06730313991704999,0.18141953119864346,0.0784350283717381,0.031779367003633666,0.1520789140949575,0.0,3127.001450464947,Owner
Flat,7,1.6996828341644223,Garden,0,7.483131374122771,0.22243730768352601,0.1254539156899137,-0.027338263225227324,0.1850876997728332,0.12235015938631844,0.04768336864330863,0.10593732350387944,0.0,6272.1180498960985,Owner
Flat,3,0.03242671116690151,Terrace,0,7.469615066389967,0.1678177092278058,0.15656149799696448,-0.03497248437126858,0.14311827767795915,0.09415908111649955,0.06277530975889488,0.08045745989156655,0.0,2917.7287446961386,Owner
